station_key,direction_label,month_name,time_of_day,is_weekend,functional_class,aadt_band,station_type,avg_forecast,max_forecast,avg_lower,avg_upper,avg_reliability,avg_interval_width,prediction_count
STN_0001,Northbound,December,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),607.8,621.21,305.5,931.1299999999999,0.45,625.63,5
STN_0001,Northbound,December,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),532.1788888888889,668.91,210.35444444444445,772.8177777777778,0.48888888888888893,562.4633333333334,9
STN_0001,Northbound,December,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),202.03,202.03,1.09,434.37,0.5,433.28000000000003,1
STN_0001,Northbound,December,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),87.58266666666667,234.4,8.991333333333333,164.89333333333335,0.366,155.902,15
STN_0001,Northbound,December,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),51.612,81.35,0.306,116.878,0.33999999999999997,116.572,5
STN_0001,Northbound,February,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),315.4714285714286,492.77,151.43285714285713,462.18285714285713,0.47714285714285715,310.75,7
STN_0001,Northbound,February,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),304.27,420.77,130.29999999999998,476.43666666666667,0.47333333333333333,346.1366666666666,3
STN_0001,Northbound,February,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,817.21,963.1,483.98749999999995,1081.9325,0.55,597.945,4
STN_0001,Northbound,February,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),817.53,817.53,482.84,1065.82,0.5,582.98,1
STN_0001,Northbound,February,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,Established Station,577.845,606.71,296.875,900.75,0.55,603.875,2
STN_0001,Northbound,February,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),638.6925,752.56,302.7558333333333,869.305,0.5,566.5491666666667,12
STN_0001,Northbound,February,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),667.7566666666667,678.85,369.0133333333333,991.0166666666668,0.5,622.0033333333332,3
STN_0001,Northbound,February,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,690.28,718.76,319.565,961.5,0.55,641.9350000000001,2
STN_0001,Northbound,February,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),487.01,499.64,262.975,666.485,0.5,403.51,2
STN_0001,Northbound,February,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,450.95,450.95,250.0,683.28,0.55,433.28,1
STN_0001,Northbound,February,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),127.68,127.68,35.3,238.96,0.5,203.66000000000003,1
STN_0001,Northbound,February,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),69.3055,241.39,6.8515,127.4365,0.40800000000000003,120.58500000000001,20
STN_0001,Northbound,February,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),46.472,84.31,0.0,99.484,0.426,99.484,5
STN_0001,Northbound,January,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),217.85545454545453,479.98,83.87818181818182,343.6790909090909,0.44909090909090904,259.8009090909091,11
STN_0001,Northbound,January,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),193.84666666666666,347.5,57.333333333333336,336.19,0.4466666666666666,278.8566666666666,3
STN_0001,Northbound,January,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,731.655,846.08,397.69875,988.1625,0.55,590.46375,8
STN_0001,Northbound,January,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),827.1133333333333,847.18,492.4166666666667,1075.4066666666668,0.5,582.99,3
STN_0001,Northbound,January,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),584.21,584.21,303.25,907.12,0.5,603.87,1
STN_0001,Northbound,January,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),652.20625,710.75,316.16125,881.215,0.5,565.05375,8
STN_0001,Northbound,January,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),588.2566666666667,652.53,289.51666666666665,911.5166666666668,0.5,622.0,3
STN_0001,Northbound,January,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,629.66625,705.73,258.955,900.8925,0.55,641.9375,8
STN_0001,Northbound,January,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),394.56333333333333,439.15,170.52333333333334,574.04,0.5,403.51666666666665,3
STN_0001,Northbound,January,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,399.6233333333333,492.09,198.67333333333332,631.9533333333333,0.55,433.28,3
STN_0001,Northbound,January,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),133.89333333333335,152.72,41.513333333333335,245.17333333333332,0.5,203.66,3
STN_0001,Northbound,January,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),57.061578947368425,220.02,2.9405263157894734,110.0878947368421,0.41105263157894734,107.14736842105265,19
STN_0001,Northbound,January,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),58.0075,100.19,0.9625,117.1425,0.4275,116.18,4
STN_0001,Northbound,July,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),396.326,676.82,175.919,595.009,0.446,419.09000000000003,10
